experiment,method,model,Rprec,P@1,R@30,AP,P@5,P@10
lexeme_TF_IDF,lexeme,TF_IDF,0.0507,0.08,0.0507,0.0208,0.064,0.06
lexeme_BM25,lexeme,BM25,0.0467,0.08,0.0467,0.0194,0.048,0.064
lexeme_PL2,lexeme,PL2,0.052,0.08,0.052,0.0206,0.048,0.056
lexeme_DPH,lexeme,DPH,0.056,0.0,0.056,0.0185,0.064,0.064
stem_TF_IDF,stem,TF_IDF,0.052,0.08,0.052,0.0199,0.064,0.048
stem_BM25,stem,BM25,0.048,0.08,0.048,0.0186,0.048,0.06
stem_PL2,stem,PL2,0.0533,0.08,0.0533,0.0201,0.056,0.052
stem_DPH,stem,DPH,0.0533,0.0,0.0533,0.0182,0.072,0.068
lemma_TF_IDF,lemma,TF_IDF,0.052,0.08,0.052,0.0207,0.064,0.052
lemma_BM25,lemma,BM25,0.048,0.08,0.048,0.0191,0.048,0.06
lemma_PL2,lemma,PL2,0.052,0.08,0.052,0.0204,0.048,0.052
lemma_DPH,lemma,DPH,0.0573,0.0,0.0573,0.0192,0.064,0.064
